aoi_name,product_id,monitoring,monitoring_number,version_number,latitude,longitude
Syapru Besi,2851,False,0,1,28.1686525,85.335734
Timure,2852,False,0,2,28.261158000000002,85.368831
Bidur,2868,True,1,1,27.932921999999998,85.14605850000001
Phosretar,2886,False,0,3,27.8300775,85.025151
